Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
000005f7      2  1f7      1   0 hit          7     3f   3 miss      f   f miss
000006ca      3   ca      1   1 hit          1      b   0 miss      2   c miss
00000a35      5   35      2   1 miss hit     0      0   3 miss      0   3 miss
00000817      4   17      2   0 miss hit     4     20   1 miss      8   1 miss
000007c3      3  1c3      1   1 miss hit     1      f   0 miss      3   c miss
00000293      1   93      0   1 miss hit     6     32   1 miss      c   9 miss
0000089d      4   9d      2   0 hit          4     22   1 miss      8   9 miss
00000a1b      5   1b      2   1 miss hit     0      0   1 miss      0   1 miss
000005cd      2  1cd      1   0 miss hit     7     3f   0 miss      f   c miss
00000b7d      5  17d      2   1 hit          0      5   3 miss      1   7 hit 
00000ed9      7   d9      3   1 miss hit     2     13   1 miss      4   d miss
00000322      1  122      0   1 miss hit     6     34   2 miss      d   2 hit 
000008ff      4   ff      2   0 miss hit     4     23   3 miss      8   f miss
00000cf1      6   f1      3   0 miss hit     5     2b   3 miss      a   f hit 
00000739      3  139      1   1 miss hit     1      c   3 miss      3   3 miss
00000a97      5   97      2   1 miss hit     0      2   1 miss      0   9 miss
0000039a      1  19a      0   1 miss hit     6     36   1 miss      d   9 miss
00000d5a      6  15a      3   0 hit          5     2d   1 miss      b   5 miss
0000004c      0   4c      0   0 miss hit     3     19   0 miss      6   4 miss
0000002d      0   2d      0   0 hit          3     18   2 miss      6   2 miss
00000cc8      6   c8      3   0 miss hit     5     2b   0 miss      a   c miss
00000f91      7  191      3   1 miss hit     2     16   1 miss      5   9 miss
00000326      1  126      0   1 miss hit     6     34   2 miss      d   2 hit 
000002ee      1   ee      0   1 hit          6     33   2 miss      c   e miss
0000025f      1   5f      0   1 hit          6     31   1 miss      c   5 miss
00000a9c      5   9c      2   1 miss hit     0      2   1 miss      0   9 hit 
00000040      0   40      0   0 miss hit     3     19   0 miss      6   4 hit 
00000831      4   31      2   0 miss hit     4     20   3 miss      8   3 miss
00000166      0  166      0   0 miss hit     3     1d   2 miss      7   6 miss
00000258      1   58      0   1 miss hit     6     31   1 miss      c   5 hit 
000002b7      1   b7      0   1 hit          6     32   3 miss      c   b hit 
00000634      3   34      1   1 miss hit     1      8   3 miss      2   3 miss
00000736      3  136      1   1 hit          1      c   3 miss      3   3 hit 
0000007f      0   7f      0   0 hit          3     19   3 miss      6   7 miss
00000307      1  107      0   1 miss hit     6     34   0 miss      d   0 hit 
0000074b      3  14b      1   1 miss hit     1      d   0 miss      3   4 miss
00000112      0  112      0   0 hit          3     1c   1 miss      7   1 miss
00000251      1   51      0   1 miss hit     6     31   1 miss      c   5 hit 
00000cc6      6   c6      3   0 miss hit     5     2b   0 miss      a   c hit 
0000029e      1   9e      0   1 hit          6     32   1 miss      c   9 miss
0000091f      4  11f      2   0 miss hit     4     24   1 miss      9   1 miss
000009a3      4  1a3      2   0 hit          4     26   2 miss      9   a hit 
00000cc6      6   c6      3   0 miss hit     5     2b   0 hit                 
00000a61      5   61      2   1 miss hit     0      1   2 miss      0   6 hit 
00000e01      7    1      3   1 miss hit     2     10   0 miss      4   0 miss
00000ef9      7   f9      3   1 hit          2     13   3 miss      4   f miss
00000a6b      5   6b      2   1 miss hit     0      1   2 hit                 
00000744      3  144      1   1 miss hit     1      d   0 miss      3   4 hit 
000009a3      4  1a3      2   0 miss hit     4     26   2 miss      9   a hit 
0000061f      3   1f      1   1 hit          1      8   1 miss      2   1 miss
0000015a      0  15a      0   0 miss hit     3     1d   1 miss      7   5 miss
000006ba      3   ba      1   1 hit          1      a   3 miss      2   b hit 
0000067a      3   7a      1   1 hit          1      9   3 miss      2   7 miss
0000053b      2  13b      1   0 miss hit     7     3c   3 miss      f   3 miss
00000e1d      7   1d      3   1 miss hit     2     10   1 miss      4   1 miss
000000c7      0   c7      0   0 miss hit     3     1b   0 miss      6   c miss
00000688      3   88      1   1 miss hit     1      a   0 miss      2   8 hit 
00000a3b      5   3b      2   1 miss hit     0      0   3 miss      0   3 miss
000008be      4   be      2   0 miss hit     4     22   3 miss      8   b miss
000000a0      0   a0      0   0 miss hit     3     1a   2 miss      6   a miss
00000f9c      7  19c      3   1 miss hit     2     16   1 miss      5   9 hit 
00000258      1   58      0   1 miss hit     6     31   1 miss      c   5 hit 
000000d5      0   d5      0   0 hit          3     1b   1 miss      6   d miss
00000b3f      5  13f      2   1 miss hit     0      4   3 miss      1   3 miss
00000fbd      7  1bd      3   1 miss hit     2     16   3 miss      5   b miss
00000c09      6    9      3   0 miss hit     5     28   0 miss      a   0 miss
0000030b      1  10b      0   1 miss hit     6     34   0 miss      d   0 hit 
0000048c      2   8c      1   0 miss hit     7     3a   0 miss      e   8 hit 
00000d09      6  109      3   0 miss hit     5     2c   0 miss      b   0 miss
000008ab      4   ab      2   0 miss hit     4     22   2 miss      8   a miss
00000969      4  169      2   0 hit          4     25   2 miss      9   6 miss
00000601      3    1      1   1 miss hit     1      8   0 miss      2   0 miss
00000d70      6  170      3   0 miss hit     5     2d   3 miss      b   7 hit 
0000055d      2  15d      1   0 miss hit     7     3d   1 miss      f   5 hit 
000007f2      3  1f2      1   1 hit          1      f   3 miss      3   f miss
000009bf      4  1bf      2   0 miss hit     4     26   3 miss      9   b miss
00000009      0    9      0   0 miss hit     3     18   0 miss      6   0 miss
0000092b      4  12b      2   0 miss hit     4     24   2 miss      9   2 miss
00000934      4  134      2   0 hit          4     24   3 miss      9   3 miss
00000a80      5   80      2   1 miss hit     0      2   0 miss      0   8 hit 
00000e58      7   58      3   1 miss hit     2     11   1 miss      4   5 miss
000004c7      2   c7      1   0 miss hit     7     3b   0 miss      e   c miss
00000681      3   81      1   1 miss hit     1      a   0 miss      2   8 hit 
00000b00      5  100      2   1 miss hit     0      4   0 miss      1   0 miss
00000972      4  172      2   0 miss hit     4     25   3 miss      9   7 miss
00000a06      5    6      2   1 hit          0      0   0 miss      0   0 miss
00000716      3  116      1   1 miss hit     1      c   1 miss      3   1 miss
00000af7      5   f7      2   1 miss hit     0      3   3 miss      0   f miss
00000c37      6   37      3   0 miss hit     5     28   3 miss      a   3 miss
000005c9      2  1c9      1   0 miss hit     7     3f   0 miss      f   c hit 
00000782      3  182      1   1 miss hit     1      e   0 miss      3   8 miss
0000033f      1  13f      0   1 miss hit     6     34   3 miss      d   3 miss
000006ff      3   ff      1   1 miss hit     1      b   3 miss      2   f miss
0000061c      3   1c      1   1 hit          1      8   1 miss      2   1 hit 
00000c2a      6   2a      3   0 miss hit     5     28   2 miss      a   2 miss
00000c20      6   20      3   0 hit          5     28   2 hit                 
00000f85      7  185      3   1 miss hit     2     16   0 miss      5   8 miss
00000d16      6  116      3   0 hit          5     2c   1 miss      b   1 miss
00000e87      7   87      3   1 hit          2     12   0 miss      4   8 miss
000004b0      2   b0      1   0 miss hit     7     3a   3 miss      e   b miss
00000dd7      6  1d7      3   0 miss hit     5     2f   1 miss      b   d miss
0000084a      4   4a      2   0 miss hit     4     21   0 miss      8   4 miss
00000550      2  150      1   0 miss hit     7     3d   1 miss      f   5 hit 
000003d4      1  1d4      0   1 miss hit     6     37   1 miss      d   d miss
00000f4c      7  14c      3   1 miss hit     2     15   0 miss      5   4 miss
000004f4      2   f4      1   0 hit          7     3b   3 miss      e   f miss
00000666      3   66      1   1 miss hit     1      9   2 miss      2   6 hit 
00000a65      5   65      2   1 miss hit     0      1   2 miss      0   6 hit 
00000176      0  176      0   0 miss hit     3     1d   3 miss      7   7 miss
000004fc      2   fc      1   0 miss hit     7     3b   3 miss      e   f hit 
00000977      4  177      2   0 miss hit     4     25   3 miss      9   7 hit 
00000e11      7   11      3   1 miss hit     2     10   1 miss      4   1 hit 
0000041d      2   1d      1   0 miss hit     7     38   1 miss      e   1 miss
00000890      4   90      2   0 miss hit     4     22   1 miss      8   9 miss
00000963      4  163      2   0 hit          4     25   2 miss      9   6 hit 
00000c8e      6   8e      3   0 miss hit     5     2a   0 miss      a   8 miss
000000bc      0   bc      0   0 miss hit     3     1a   3 miss      6   b miss
000009e9      4  1e9      2   0 miss hit     4     27   2 miss      9   e hit 
00000706      3  106      1   1 miss hit     1      c   0 miss      3   0 miss
000003bd      1  1bd      0   1 miss hit     6     36   3 miss      d   b miss
00000307      1  107      0   1 hit          6     34   0 miss      d   0 miss
0000091d      4  11d      2   0 hit          4     24   1 miss      9   1 miss
00000c6d      6   6d      3   0 miss hit     5     29   2 miss      a   6 miss
00000a14      5   14      2   1 miss hit     0      0   1 miss      0   1 miss
00000e62      7   62      3   1 miss hit     2     11   2 miss      4   6 miss
0000081c      4   1c      2   0 miss hit     4     20   1 miss      8   1 miss
000004c7      2   c7      1   0 miss hit     7     3b   0 miss      e   c hit 
000004d7      2   d7      1   0 hit          7     3b   1 miss      e   d miss
00000d6e      6  16e      3   0 miss hit     5     2d   2 miss      b   6 miss
00000550      2  150      1   0 miss hit     7     3d   1 miss      f   5 hit 
00000c3d      6   3d      3   0 miss hit     5     28   3 miss      a   3 hit 
000002ce      1   ce      0   1 miss hit     6     33   0 miss      c   c miss
00000ba3      5  1a3      2   1 miss hit     0      6   2 miss      1   a miss
0000007a      0   7a      0   0 miss hit     3     19   3 miss      6   7 miss
000009d1      4  1d1      2   0 miss hit     4     27   1 miss      9   d miss
00000e4a      7   4a      3   1 miss hit     2     11   0 miss      4   4 miss
00000db3      6  1b3      3   0 miss hit     5     2e   3 miss      b   b miss
00000646      3   46      1   1 miss hit     1      9   0 miss      2   4 miss
0000012a      0  12a      0   0 miss hit     3     1c   2 miss      7   2 miss
0000058e      2  18e      1   0 miss hit     7     3e   0 miss      f   8 miss
0000006c      0   6c      0   0 miss hit     3     19   2 miss      6   6 miss
00000283      1   83      0   1 miss hit     6     32   0 miss      c   8 miss
00000c7f      6   7f      3   0 miss hit     5     29   3 miss      a   7 miss
0000021b      1   1b      0   1 hit          6     30   1 miss      c   1 miss
00000ba4      5  1a4      2   1 miss hit     0      6   2 miss      1   a hit 
0000096a      4  16a      2   0 miss hit     4     25   2 miss      9   6 miss
000003d5      1  1d5      0   1 miss hit     6     37   1 miss      d   d hit 
000008e7      4   e7      2   0 hit          4     23   2 miss      8   e miss
00000a3d      5   3d      2   1 miss hit     0      0   3 miss      0   3 miss
00000f69      7  169      3   1 miss hit     2     15   2 miss      5   6 miss
000001fc      0  1fc      0   0 miss hit     3     1f   3 miss      7   f miss
0000053b      2  13b      1   0 miss hit     7     3c   3 miss      f   3 miss
00000a92      5   92      2   1 miss hit     0      2   1 miss      0   9 hit 
00000be2      5  1e2      2   1 hit          0      7   2 miss      1   e miss
000002d4      1   d4      0   1 miss hit     6     33   1 miss      c   d miss
00000563      2  163      1   0 hit          7     3d   2 miss      f   6 miss
00000e96      7   96      3   1 miss hit     2     12   1 miss      4   9 miss
00000f6e      7  16e      3   1 hit          2     15   2 miss      5   6 hit 
00000b21      5  121      2   1 miss hit     0      4   2 miss      1   2 miss
00000809      4    9      2   0 miss hit     4     20   0 miss      8   0 miss
00000fe3      7  1e3      3   1 miss hit     2     17   2 miss      5   e miss
000001c7      0  1c7      0   0 miss hit     3     1f   0 miss      7   c miss
00000973      4  173      2   0 miss hit     4     25   3 miss      9   7 hit 
00000759      3  159      1   1 miss hit     1      d   1 miss      3   5 miss
000005c4      2  1c4      1   0 miss hit     7     3f   0 miss      f   c hit 
00000df1      6  1f1      3   0 miss hit     5     2f   3 miss      b   f miss
00000164      0  164      0   0 miss hit     3     1d   2 miss      7   6 miss
00000478      2   78      1   0 miss hit     7     39   3 miss      e   7 miss
000000ad      0   ad      0   0 miss hit     3     1a   2 miss      6   a hit 
000000c2      0   c2      0   0 hit          3     1b   0 miss      6   c miss
000001f6      0  1f6      0   0 hit          3     1f   3 miss      7   f hit 
00000a18      5   18      2   1 miss hit     0      0   1 miss      0   1 hit 
00000d18      6  118      3   0 miss hit     5     2c   1 miss      b   1 miss
000007ef      3  1ef      1   1 miss hit     1      f   2 miss      3   e miss
00000013      0   13      0   0 miss hit     3     18   1 miss      6   1 miss
00000ddf      6  1df      3   0 miss hit     5     2f   1 miss      b   d miss
00000927      4  127      2   0 miss hit     4     24   2 miss      9   2 hit 
00000828      4   28      2   0 hit          4     20   2 miss      8   2 miss
0000000b      0    b      0   0 miss hit     3     18   0 miss      6   0 miss
000008bb      4   bb      2   0 miss hit     4     22   3 miss      8   b miss
00000e99      7   99      3   1 miss hit     2     12   1 miss      4   9 hit 
00000930      4  130      2   0 hit          4     24   3 miss      9   3 miss
00000d71      6  171      3   0 miss hit     5     2d   3 miss      b   7 miss
000005b1      2  1b1      1   0 miss hit     7     3e   3 miss      f   b miss
000000db      0   db      0   0 miss hit     3     1b   1 miss      6   d miss
00000a52      5   52      2   1 miss hit     0      1   1 miss      0   5 miss
00000056      0   56      0   0 hit          3     19   1 miss      6   5 miss
00000337      1  137      0   1 miss hit     6     34   3 miss      d   3 miss
000009ac      4  1ac      2   0 miss hit     4     26   2 miss      9   a hit 
00000a90      5   90      2   1 miss hit     0      2   1 miss      0   9 hit 
000008de      4   de      2   0 hit          4     23   1 miss      8   d miss
000001f9      0  1f9      0   0 miss hit     3     1f   3 miss      7   f hit 
00000ac9      5   c9      2   1 hit          0      3   0 miss      0   c miss
0000089c      4   9c      2   0 miss hit     4     22   1 miss      8   9 hit 
00000672      3   72      1   1 miss hit     1      9   3 miss      2   7 miss
000002c5      1   c5      0   1 miss hit     6     33   0 miss      c   c miss
00000089      0   89      0   0 miss hit     3     1a   0 miss      6   8 miss
0000056a      2  16a      1   0 miss hit     7     3d   2 miss      f   6 hit 
00000dc9      6  1c9      3   0 miss hit     5     2f   0 miss      b   c miss
000004b9      2   b9      1   0 miss hit     7     3a   3 miss      e   b miss
000000d3      0   d3      0   0 miss hit     3     1b   1 miss      6   d hit 
00000e21      7   21      3   1 miss hit     2     10   2 miss      4   2 miss
00000865      4   65      2   0 miss hit     4     21   2 miss      8   6 miss
00000935      4  135      2   0 hit          4     24   3 miss      9   3 hit 
000008b4      4   b4      2   0 hit          4     22   3 miss      8   b hit 
00000547      2  147      1   0 miss hit     7     3d   0 miss      f   4 miss
000005cd      2  1cd      1   0 hit          7     3f   0 miss      f   c miss
00000737      3  137      1   1 miss hit     1      c   3 miss      3   3 miss
00000b76      5  176      2   1 miss hit     0      5   3 miss      1   7 miss
00000637      3   37      1   1 miss hit     1      8   3 miss      2   3 miss
00000cdc      6   dc      3   0 miss hit     5     2b   1 miss      a   d miss
00000a09      5    9      2   1 miss hit     0      0   0 miss      0   0 miss
000003d7      1  1d7      0   1 miss hit     6     37   1 miss      d   d miss
0000012d      0  12d      0   0 miss hit     3     1c   2 miss      7   2 miss
00000ee5      7   e5      3   1 miss hit     2     13   2 miss      4   e miss
00000ee2      7   e2      3   1 hit          2     13   2 hit                 
00000c1e      6   1e      3   0 miss hit     5     28   1 miss      a   1 miss
00000c09      6    9      3   0 hit          5     28   0 miss      a   0 miss
00000ced      6   ed      3   0 hit          5     2b   2 miss      a   e miss
00000a4d      5   4d      2   1 miss hit     0      1   0 miss      0   4 miss
000003fe      1  1fe      0   1 miss hit     6     37   3 miss      d   f miss
000004f7      2   f7      1   0 miss hit     7     3b   3 miss      e   f hit 
00000243      1   43      0   1 hit          6     31   0 miss      c   4 miss
00000058      0   58      0   0 miss hit     3     19   1 miss      6   5 hit 
0000093b      4  13b      2   0 miss hit     4     24   3 miss      9   3 hit 
0000077e      3  17e      1   1 miss hit     1      d   3 miss      3   7 miss
00000281      1   81      0   1 miss hit     6     32   0 miss      c   8 hit 
00000245      1   45      0   1 hit          6     31   0 miss      c   4 hit 
000008c7      4   c7      2   0 hit          4     23   0 miss      8   c miss
00000b22      5  122      2   1 miss hit     0      4   2 miss      1   2 miss
00000e0b      7    b      3   1 miss hit     2     10   0 miss      4   0 miss
000006b1      3   b1      1   1 miss hit     1      a   3 miss      2   b miss
00000e0f      7    f      3   1 miss hit     2     10   0 hit                 
00000e49      7   49      3   1 hit          2     11   0 miss      4   4 miss
000007f5      3  1f5      1   1 miss hit     1      f   3 miss      3   f miss
000005b4      2  1b4      1   0 miss hit     7     3e   3 miss      f   b hit 
00000028      0   28      0   0 miss hit     3     18   2 miss      6   2 miss
00000c1f      6   1f      3   0 miss hit     5     28   1 miss      a   1 hit 
00000aa0      5   a0      2   1 miss hit     0      2   2 miss      0   a miss
00000126      0  126      0   0 miss hit     3     1c   2 miss      7   2 hit 
0000040b      2    b      1   0 miss hit     7     38   0 miss      e   0 miss
00000eb1      7   b1      3   1 miss hit     2     12   3 miss      4   b miss
000006f8      3   f8      1   1 miss hit     1      b   3 miss      2   f miss
0000010d      0  10d      0   0 miss hit     3     1c   0 miss      7   0 miss
0000048e      2   8e      1   0 miss hit     7     3a   0 miss      e   8 miss
000007bf      3  1bf      1   1 hit          1      e   3 miss      3   b miss
00000e03      7    3      3   1 miss hit     2     10   0 miss      4   0 hit 
00000dc8      6  1c8      3   0 miss hit     5     2f   0 miss      b   c hit 
00000560      2  160      1   0 miss hit     7     3d   2 miss      f   6 hit 
0000014f      0  14f      0   0 miss hit     3     1d   0 miss      7   4 miss
000003d9      1  1d9      0   1 miss hit     6     37   1 miss      d   d hit 
00000799      3  199      1   1 miss hit     1      e   1 miss      3   9 miss
000003b7      1  1b7      0   1 miss hit     6     36   3 miss      d   b miss
000007ca      3  1ca      1   1 miss hit     1      f   0 miss      3   c miss
00000e55      7   55      3   1 miss hit     2     11   1 miss      4   5 miss
0000056e      2  16e      1   0 miss hit     7     3d   2 hit                 
00000da8      6  1a8      3   0 miss hit     5     2e   2 miss      b   a miss
000003fe      1  1fe      0   1 miss hit     6     37   3 miss      d   f hit 
000009fe      4  1fe      2   0 miss hit     4     27   3 miss      9   f miss
0000013b      0  13b      0   0 miss hit     3     1c   3 miss      7   3 miss
000004dc      2   dc      1   0 miss hit     7     3b   1 miss      e   d miss
0000053a      2  13a      1   0 hit          7     3c   3 miss      f   3 miss
000002f2      1   f2      0   1 hit          6     33   3 miss      c   f miss
00000af2      5   f2      2   1 miss hit     0      3   3 miss      0   f miss
00000022      0   22      0   0 miss hit     3     18   2 miss      6   2 hit 
00000aab      5   ab      2   1 hit          0      2   2 miss      0   a hit 
00000daa      6  1aa      3   0 miss hit     5     2e   2 miss      b   a hit 
00000089      0   89      0   0 miss hit     3     1a   0 miss      6   8 hit 
00000c21      6   21      3   0 miss hit     5     28   2 miss      a   2 miss
00000baf      5  1af      2   1 hit          0      6   2 miss      1   a miss
00000acc      5   cc      2   1 hit          0      3   0 miss      0   c miss
0000024d      1   4d      0   1 miss hit     6     31   0 miss      c   4 hit 
0000091c      4  11c      2   0 miss hit     4     24   1 miss      9   1 miss
0000072e      3  12e      1   1 miss hit     1      c   2 miss      3   2 miss
000002f6      1   f6      0   1 miss hit     6     33   3 miss      c   f hit 
00000687      3   87      1   1 miss hit     1      a   0 miss      2   8 miss
000002f3      1   f3      0   1 miss hit     6     33   3 hit                 
00000a78      5   78      2   1 miss hit     0      1   3 miss      0   7 miss
000009d9      4  1d9      2   0 hit          4     27   1 miss      9   d miss
00000594      2  194      1   0 miss hit     7     3e   1 miss      f   9 miss
00000e65      7   65      3   1 miss hit     2     11   2 miss      4   6 miss
000005aa      2  1aa      1   0 hit          7     3e   2 miss      f   a miss
000002e6      1   e6      0   1 miss hit     6     33   2 miss      c   e miss
00000aa0      5   a0      2   1 miss hit     0      2   2 miss      0   a hit 
0000046b      2   6b      1   0 hit          7     39   2 miss      e   6 miss
000001f4      0  1f4      0   0 miss hit     3     1f   3 miss      7   f miss
00000586      2  186      1   0 miss hit     7     3e   0 miss      f   8 miss
00000855      4   55      2   0 miss hit     4     21   1 miss      8   5 miss
00000d1d      6  11d      3   0 miss hit     5     2c   1 miss      b   1 hit 
0000024b      1   4b      0   1 miss hit     6     31   0 miss      c   4 hit 
00000c52      6   52      3   0 hit          5     29   1 miss      a   5 miss
000005ae      2  1ae      1   0 miss hit     7     3e   2 miss      f   a hit 
00000683      3   83      1   1 miss hit     1      a   0 miss      2   8 hit 
00000123      0  123      0   0 miss hit     3     1c   2 miss      7   2 hit 
000002ef      1   ef      0   1 miss hit     6     33   2 miss      c   e hit 
00000bd3      5  1d3      2   1 miss hit     0      7   1 miss      1   d miss
00000c9e      6   9e      3   0 miss hit     5     2a   1 miss      a   9 miss
00000a85      5   85      2   1 hit          0      2   0 miss      0   8 miss
00000d60      6  160      3   0 hit          5     2d   2 miss      b   6 miss
00000281      1   81      0   1 miss hit     6     32   0 miss      c   8 miss
00000266      1   66      0   1 hit          6     31   2 miss      c   6 miss
00000343      1  143      0   1 hit          6     35   0 miss      d   4 miss
0000086b      4   6b      2   0 miss hit     4     21   2 miss      8   6 miss
000001c7      0  1c7      0   0 miss hit     3     1f   0 miss      7   c miss
000001f3      0  1f3      0   0 hit          3     1f   3 hit                 
00000da9      6  1a9      3   0 miss hit     5     2e   2 miss      b   a hit 
0000072b      3  12b      1   1 miss hit     1      c   2 miss      3   2 hit 
000007c9      3  1c9      1   1 hit          1      f   0 miss      3   c hit 
00000098      0   98      0   0 miss hit     3     1a   1 miss      6   9 miss
0000022f      1   2f      0   1 miss hit     6     30   2 miss      c   2 miss
00000994      4  194      2   0 miss hit     4     26   1 miss      9   9 miss
00000c4f      6   4f      3   0 miss hit     5     29   0 miss      a   4 miss
000009a2      4  1a2      2   0 miss hit     4     26   2 miss      9   a miss
0000065f      3   5f      1   1 miss hit     1      9   1 miss      2   5 miss
00000c47      6   47      3   0 miss hit     5     29   0 hit                 
00000cc3      6   c3      3   0 hit          5     2b   0 miss      a   c miss
00000049      0   49      0   0 miss hit     3     19   0 miss      6   4 miss
00000ad2      5   d2      2   1 miss hit     0      3   1 miss      0   d miss
0000017e      0  17e      0   0 hit          3     1d   3 miss      7   7 miss
0000082c      4   2c      2   0 miss hit     4     20   2 miss      8   2 miss
000003a9      1  1a9      0   1 miss hit     6     36   2 miss      d   a miss
00000ff7      7  1f7      3   1 miss hit     2     17   3 miss      5   f miss
00000929      4  129      2   0 hit          4     24   2 miss      9   2 miss
00000470      2   70      1   0 miss hit     7     39   3 miss      e   7 miss
00000d3c      6  13c      3   0 miss hit     5     2c   3 miss      b   3 miss
00000a5b      5   5b      2   1 miss hit     0      1   1 miss      0   5 miss
00000b1d      5  11d      2   1 hit          0      4   1 miss      1   1 miss
00000d30      6  130      3   0 hit          5     2c   3 hit                 
0000001e      0   1e      0   0 miss hit     3     18   1 miss      6   1 miss
000003fb      1  1fb      0   1 miss hit     6     37   3 miss      d   f miss
00000892      4   92      2   0 miss hit     4     22   1 miss      8   9 miss
00000c0b      6    b      3   0 miss hit     5     28   0 miss      a   0 hit 
00000bf9      5  1f9      2   1 miss hit     0      7   3 miss      1   f miss
000009f9      4  1f9      2   0 miss hit     4     27   3 miss      9   f miss
00000ad4      5   d4      2   1 hit          0      3   1 miss      0   d hit 
00000292      1   92      0   1 miss hit     6     32   1 miss      c   9 miss
00000fa5      7  1a5      3   1 miss hit     2     16   2 miss      5   a miss
000009fd      4  1fd      2   0 hit          4     27   3 hit                 
00000c33      6   33      3   0 miss hit     5     28   3 miss      a   3 miss
00000468      2   68      1   0 miss hit     7     39   2 miss      e   6 hit 
0000048e      2   8e      1   0 hit          7     3a   0 miss      e   8 miss
000005ab      2  1ab      1   0 hit          7     3e   2 miss      f   a miss
00000620      3   20      1   1 miss hit     1      8   2 miss      2   2 miss
00000ff0      7  1f0      3   1 miss hit     2     17   3 miss      5   f hit 
000007b9      3  1b9      1   1 miss hit     1      e   3 miss      3   b hit 
00000080      0   80      0   0 miss hit     3     1a   0 miss      6   8 miss
000009f0      4  1f0      2   0 miss hit     4     27   3 miss      9   f hit 
00000b54      5  154      2   1 miss hit     0      5   1 miss      1   5 miss
000003d5      1  1d5      0   1 miss hit     6     37   1 miss      d   d miss
00000bc7      5  1c7      2   1 miss hit     0      7   0 miss      1   c miss
00000b83      5  183      2   1 hit          0      6   0 miss      1   8 miss
00000096      0   96      0   0 miss hit     3     1a   1 miss      6   9 hit 
00000982      4  182      2   0 miss hit     4     26   0 miss      9   8 miss
000003e0      1  1e0      0   1 miss hit     6     37   2 miss      d   e miss
00000f57      7  157      3   1 miss hit     2     15   1 miss      5   5 miss
00000d51      6  151      3   0 miss hit     5     2d   1 miss      b   5 miss
000001f7      0  1f7      0   0 miss hit     3     1f   3 miss      7   f miss
00000c26      6   26      3   0 miss hit     5     28   2 miss      a   2 miss
00000866      4   66      2   0 miss hit     4     21   2 miss      8   6 hit 
000007f6      3  1f6      1   1 miss hit     1      f   3 miss      3   f miss
00000ea6      7   a6      3   1 miss hit     2     12   2 miss      4   a miss
00000546      2  146      1   0 miss hit     7     3d   0 miss      f   4 miss
00000a81      5   81      2   1 miss hit     0      2   0 miss      0   8 miss
000001f2      0  1f2      0   0 miss hit     3     1f   3 miss      7   f hit 
0000052d      2  12d      1   0 miss hit     7     3c   2 miss      f   2 miss
00000a4e      5   4e      2   1 hit          0      1   0 miss      0   4 miss
00000ecb      7   cb      3   1 miss hit     2     13   0 miss      4   c miss
00000791      3  191      1   1 miss hit     1      e   1 miss      3   9 miss
000007ba      3  1ba      1   1 hit          1      e   3 miss      3   b hit 
00000845      4   45      2   0 miss hit     4     21   0 miss      8   4 miss
0000001c      0   1c      0   0 miss hit     3     18   1 miss      6   1 hit 
00000e17      7   17      3   1 miss hit     2     10   1 miss      4   1 miss
00000cf7      6   f7      3   0 miss hit     5     2b   3 miss      a   f miss
00000025      0   25      0   0 miss hit     3     18   2 miss      6   2 miss
00000ff1      7  1f1      3   1 hit          2     17   3 miss      5   f miss
000001ca      0  1ca      0   0 hit          3     1f   0 miss      7   c miss
00000ac5      5   c5      2   1 miss hit     0      3   0 miss      0   c miss
00000cc8      6   c8      3   0 miss hit     5     2b   0 miss      a   c miss
0000038c      1  18c      0   1 miss hit     6     36   0 miss      d   8 miss
000008c6      4   c6      2   0 miss hit     4     23   0 miss      8   c miss
00000b26      5  126      2   1 miss hit     0      4   2 miss      1   2 miss
00000ea7      7   a7      3   1 miss hit     2     12   2 miss      4   a hit 
00000d71      6  171      3   0 miss hit     5     2d   3 miss      b   7 miss
000001c2      0  1c2      0   0 miss hit     3     1f   0 miss      7   c hit 
00000f5e      7  15e      3   1 hit          2     15   1 miss      5   5 hit 
0000075e      3  15e      1   1 miss hit     1      d   1 miss      3   5 miss
00000a77      5   77      2   1 miss hit     0      1   3 miss      0   7 hit 
00000723      3  123      1   1 miss hit     1      c   2 miss      3   2 miss
00000845      4   45      2   0 miss hit     4     21   0 miss      8   4 hit 
00000d8d      6  18d      3   0 miss hit     5     2e   0 miss      b   8 miss
00000e72      7   72      3   1 miss hit     2     11   3 miss      4   7 miss
000009cd      4  1cd      2   0 miss hit     4     27   0 miss      9   c miss
00000d75      6  175      3   0 miss hit     5     2d   3 miss      b   7 hit 
0000035d      1  15d      0   1 miss hit     6     35   1 miss      d   5 miss
00000951      4  151      2   0 miss hit     4     25   1 miss      9   5 miss
